name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr
UGC02716,14.64,11.5,,6.4,17.07,18.81,8.21,7.68,0.0040541330154683945,0.0030413016376320524
UGC01104,14.48,11.81,,7.55,16.12,18.25,8.9,8.02,0.009450003057329268,0.01015297813921708
UGC06881,15.9,13.41,C,16.4,17.66,,9.14,8.27,,0.011598110547806724
LSBC D564-08,17.9,15.44,C,8.67,18.99,24.61,8.16,7.52,3.561034987748741e-05,0.0009522209731111167
UGC05672,14.65,11.55,,11.4,17.38,19.06,9.19,8.31,0.010217572981055053,0.007252859265677989
NGC4455,12.93,10.55,,8.4,14.6,16.54,9.32,8.62,0.05650626708260849,0.05096336783522017
UGC1561,14.51,11.83,C,7.2,17.19,,8.63,7.63,,0.003446390946051008
UGC08030,16.6,14.21,C,15.3,18.32,,8.57,7.89,,0.005496451617737904
UGCA298,15.25,12.43,,11.0,17.85,,8.74,7.29,,0.00438010899991671
IC3308,15.41,12.51,C,12.8,,19.11,9.31,8.57,0.012301497566879092,
AGC749236,17.3,14.86,C,19.5,,,8.35,8.3,,
DDO154,14.1,12.33,,4.04,14.88,18.19,8.79,8.28,0.0028595702882756725,0.009108823314149726
IC3341,16.4,13.98,C,14.0,,,8.48,7.92,,
NGC0855,13.3,9.83,,9.73,16.52,16.7,9.24,8.45,0.06542801224593078,0.01166608747018668
UGC07990,16.2,13.51,C,20.4,,21.38,9.19,8.4,0.003861876494350236,
UGCA294,14.82,12.41,C,9.9,15.99,,8.47,8.09,,0.01967750072298854
DDO068,14.77,12.82,,9.8,15.22,18.16,8.83,8.73,0.017297773143876725,0.039187873658408756
NGC0784,12.22,10.29,,4.97,14.42,16.24,9.23,8.46,0.026076591473821374,0.021057767451010165
UGC05427,14.89,12.2,,7.11,16.4,18.94,8.75,7.47,0.0044389192758440945,0.006957268259669065
KISSB023,16.32,13.9,C,19.8,17.01,,8.78,8.28,,0.030763088038114086
DDO131,15.28,12.86,C,8.1,16.5,,8.66,8.06,,0.008235113431743744
KK127,15.6,13.99,,17.3,17.44,,8.83,8.34,,0.015804900063698387
UGC12713,14.81,11.5,,12.2,16.95,18.43,9.21,8.42,0.020905362715034778,0.012342956805774146
IC2992,15.02,12.44,,12.7,16.71,18.81,8.52,7.73,0.015964138526975032,0.016684261562246543
UGC07131,16.8,13.95,C,16.8,17.26,,9.39,8.59,,0.017592117265500893
KUG 1157+315,15.05,12.88,,23.2,16.67,,9.33,8.48,,0.05776642852360986
DDO064,14.46,12.45,,7.11,15.13,17.31,8.84,8.24,0.019919445613203596,0.022409839663806608
DDO133,13.53,11.12,C,4.85,14.85,16.93,8.48,8.2,0.013152900143113969,0.013495314967925378
DDO083,15.41,13.41,,10.9,16.41,18.74,9.2,8.56,0.012542700197177958,0.016201399968974416
NGC4509,14.1,11.5,,10.1,15.22,,8.39,7.98,,0.04162385455949892
UGC05209,16.06,13.64,C,6.56,18.23,21.29,8.29,7.15,0.0004338561164970821,0.00109775955664135
UGC01281,12.87,10.5,,4.94,15.47,17.52,9.42,8.22,0.007924866292915089,0.007909580412982701
FGC1497,16.8,14.13,C,23.4,18.79,,9.1,8.26,,0.008339331973561839
UGC03476,15.98,12.7,C,7.01,,18.22,8.74,8.15,0.008374793006128691,
d0226+3325,17.5,14.86,C,9.3,,25.32,8.85,8.0,2.130609910796648e-05,
DDO025,13.96,10.98,C,9.3,15.9,17.5,8.97,8.41,0.02860908334070809,0.01886537511058258
LV J0926+3343,17.8,15.13,C,19.7,18.14,,8.33,8.37,,0.010755534561397979
DDO143,16.0,13.58,C,9.1,15.9,17.73,8.45,8.43,0.022162606236169197,0.018062686008872047
DDO084,13.73,11.17,,8.11,14.17,16.56,9.44,8.79,0.05171062110397458,0.07058968700761221
NGC4861,12.9,10.46,C,7.3,13.6,14.49,9.24,8.59,0.2819575745275502,0.09668192036143866
UGC7257,14.36,12.25,,8.8,15.17,,8.98,8.32,,0.03308757144963549
DDO019,15.8,13.14,C,9.3,16.62,18.19,9.3,8.32,0.015153185608822848,0.00971998164775186
NGC4214,10.24,8.14,,2.94,11.68,13.28,9.16,8.48,0.13939034935947517,0.09191665444659322
NGC4190,13.5,10.79,,2.82,15.02,17.18,8.49,7.46,0.0035321266084706914,0.003901195948064713
DDO126,14.12,11.53,,4.88,15.18,17.48,8.43,8.02,0.008023755562378878,0.010081825862125035
DDO127,14.98,12.57,C,6.89,16.19,20.47,8.33,8.0,0.0010185362483453794,0.00792753177884673
IC4182,12.02,9.72,,4.7,13.47,16.03,9.01,8.36,0.028296567810725527,0.045174698601853115
IC3687,13.79,11.12,,4.57,14.79,16.88,8.68,7.9,0.012228422793527375,0.012662864158094332
DDO022,15.65,13.11,C,9.3,18.3,19.64,8.41,8.05,0.003985693908213646,0.0020685472470815917
KKH58,15.61,12.94,C,18.4,16.43,17.94,9.11,8.47,0.07467473529025935,0.045324726678260076
UGC7719,15.25,12.59,C,9.2,16.14,18.09,8.61,8.22,0.016259743881856126,0.014800459624918851
UGC03600,16.18,13.22,C,7.24,17.63,20.15,8.84,7.78,0.0015101329308542615,0.002323681927282051
UGC12894,16.8,14.02,C,8.47,17.57,19.91,8.17,7.92,0.00257813032009434,0.003360983407819098
DDO182,15.69,13.3,C,8.9,16.07,18.86,8.16,8.03,0.0074871762913348485,0.01477336953136435
UGC7678,14.5,12.48,,6.9,15.62,17.86,8.01,7.76,0.011304106154575418,0.013439952360254694
DDO046,14.4,12.2,,6.85,16.24,19.01,9.5,8.22,0.003862950905848912,0.007483085214239521
DDO024,13.68,10.86,C,9.8,,18.42,9.0,8.73,0.013614139523989096,
And IV,17.18,14.54,C,6.31,17.89,21.06,8.84,8.32,0.0004961314570942495,0.0013891791816579317
UGC00064,15.5,12.84,C,9.6,16.59,,8.65,8.58,,0.010647361852874333
NGC4625,13.03,9.75,,7.9,14.56,16.44,8.69,8.49,0.05480147254128512,0.04676853115958216
UGC12588,14.11,10.89,C,7.9,,17.01,9.41,8.16,0.032418448651744876,
NGC0205,8.72,5.59,,0.82,14.99,27.87,8.28,5.6,1.581851645171929e-08,0.00033909958056602883
DDO052,15.27,12.37,,10.28,17.01,19.93,8.94,8.32,0.003728415244965917,0.008292505670153645
KK149,15.01,12.56,C,8.9,17.47,19.83,8.29,7.77,0.0030642067085065966,0.004068923840830565
UGC07690,13.13,11.4,,11.2,14.92,17.13,9.3,8.64,0.05834102984628399,0.06747386582190311
DDO129,13.67,11.01,C,8.9,14.88,17.26,9.08,8.59,0.032682709899408614,0.044205831212246346
UGC02172,14.6,12.37,,9.3,,,8.62,7.87,,
DDO190,13.1,10.72,,2.74,14.92,17.67,8.47,7.5,0.0021234359776822706,0.004038319475801339
UGC09660,14.35,11.74,,7.4,15.99,18.46,8.42,7.9,0.007481720591374536,0.010994183650554563
UGC07320,15.4,13.0,C,9.2,18.39,,8.31,7.54,,0.0018632674728043818
UGC07827,15.96,13.54,C,8.5,16.94,18.16,8.14,8.09,0.013012954077937244,0.006046964225201147
NGC4460,12.26,9.06,,9.59,15.68,15.66,9.31,8.08,0.16564382864154192,0.024566130929766943
NGC3741,14.38,12.26,,3.03,15.33,17.39,8.37,7.88,0.0033606501407997397,0.0033852036840286296
DDO120,13.55,10.77,,7.06,16.2,23.49,8.15,8.01,6.624413718221288e-05,0.008247246018630463
DDO168,12.97,11.11,,4.33,14.66,17.31,8.55,8.35,0.0073877780321172214,0.012813723269025985
NGC4248,13.14,10.59,,7.4,16.99,18.01,8.9,7.79,0.011324042358731723,0.004376863345667775
DDO169,14.46,12.17,,4.41,15.79,18.81,8.22,7.75,0.0019249312572785862,0.004694363622699154
KKH38,17.4,14.68,C,19.3,,,8.83,8.74,,
UGC07639,14.13,11.73,C,7.14,16.25,20.46,8.11,7.62,0.0011039120380561902,0.00805556435224696
UGC02773,15.0,9.77,,5.4,,15.94,8.94,8.23,0.040581263566433365,
NGC5229,14.33,11.67,,8.0,15.88,17.51,9.41,8.47,0.020975775188306987,0.014219342718038973
NGC0185,9.99,6.56,,0.61,,20.17,8.14,5.02,1.0524408962858603e-05,
UGCA281,15.14,12.51,,5.68,15.29,15.85,8.15,7.76,0.04877920491507791,0.01234230343304463
UGC03501,16.7,13.89,C,15.5,17.99,,8.62,8.31,,0.007644743954655933
