name,ra_deg,dec_deg
UGC7678,188.00167916666663,39.831725000000006
DDO046,115.357406,40.112792
DDO024,38.42899,40.52812
And IV,10.634583333333332,40.57194444444445
UGC00064,1.93342,40.87545999999999
NGC4625,190.46963409149,41.27392104605
UGC12588,351.179729,41.347815
NGC0205,10.09190514583,41.68541867226
DDO052,127.118998,41.857535
UGC07690,188.112056,42.704121
DDO129,187.183659,43.22383
UGC02172,40.54513333333334,43.35510555555556
DDO190,216.18004,44.52828
UGC09660,225.28950416666663,44.69819722222222
UGC07320,184.36900127137,44.81125539332
UGC07827,189.91446,44.82011
NGC4460,187.1898208333333,44.864236111111104
NGC3741,174.023974,45.284155
DDO120,185.31254,45.81134
DDO168,198.616656,45.919762
NGC4248,184.45767910452,47.40919033134
DDO169,198.873972,47.499636
UGC07639,187.4725,47.53111
UGC02773,53.03050416666667,47.79405277777778
NGC5229,203.5117958333333,47.91546666666666
NGC0185,9.74141667751,48.33750996518
UGCA281,186.56539,48.49397999999999
UGC03501,99.65945833333332,49.25886111111111
UGC04932,139.89450876673,51.10811379294
NGC4707,192.090277,51.164946
UGC07267,183.848551,51.349897
UGC05047,142.206875,51.5605
UGC07950,191.7351083333333,51.61300000000001
NGC5238,203.6771445617,51.61365787936
NGC4068,181.013605,52.590569
DDO092,168.357546,53.594358
NGC5474,211.2567,53.66220833333333
HolmIV,208.69083,53.90331
KDG192,190.936721,53.958793
NGC5477,211.388824,54.460515
NGC3738,173.954091,54.523528
KKH11,36.14171,56.0113
Cepheus1,312.79417,56.89028
DDO194,218.85032,57.255901
DDO123,186.53278,58.317204
NGC5204,202.40211666666664,58.41873055555556
Dw2,43.53528,59.0053
IC0010,5.07223,59.3037911111111
MB1,38.90125,59.37847
UGC11583,307.56375,60.44028000000001
UGCA092,68.0159858,63.61423419999999
NGC1569,67.70494166666667,64.84792222222222
DDO087,162.401718,65.533631
UGC07242,183.535,66.09472
UGC09992,235.44939,67.25426
DDO165,196.60354,67.70694
NGC2976,146.81440833333332,67.91638055555556
UGC04998,141.29548024393,68.38310218096
NGC3077,150.8295689628838,68.7337656017127
Cas1,31.51428,68.99876
NGC2366,112.2185538,69.2107941
UGC05423,151.376876,70.36428480555556
HolmII,124.77006,70.71992
FG202,106.32833,-58.52028
WLM,0.49236,-15.46108
LV J1235-1104,188.91418,-11.06715
SexA,152.75208333333333,-4.691666666666667
CGCG 035-007,143.68627,6.42563
LSBC D564-08,135.7237,20.07535
KKH38,101.97867,47.51389
KKR59,315.85083,57.28722
KKH12,36.86209,57.48786
HolmIX,149.3869298,69.0474263
CamA,66.33621,72.80813
