name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
ESO272-025,14.79,12.27,,5.88,,18.73,8.04,7.09,0.0036837716214917,,220.85635,-44.70525000000001,0.16406983137130737,13.754053200821009,False,0.5949172085523605,0.05020536839962005,14.19508279144764,12.21979463160038,2.5199999999999996,1.9752881598472598,False,False,False
ESO245-005,12.7,10.26,,4.43,13.77,16.18,9.18,8.58,0.0218950276615131,0.0304443706209031,26.265570000000004,-43.59804,0.016347914934158325,-70.28917562513215,False,0.059277539551258085,0.005002461969852447,12.64072246044874,10.254997538030148,2.4399999999999995,2.385724922418593,False,False,False
NGC5237,13.23,9.85,,3.4,16.37,17.3,8.89,7.5,0.0045972262711428,0.001635525734154,204.4127333333333,-42.84691666666667,0.09880304336547852,19.22063387318066,False,0.3582598352432251,0.030233731269836424,12.871740164756776,9.819766268730163,3.380000000000001,3.051973896026613,False,False,False
HIPASS J0457-42,14.46,12.06,C,7.2,,18.69,8.36,8.13,0.005730638835841,,74.24291666666667,-42.80083333333333,0.012677676044404507,-38.50416779608702,False,0.04596925333701074,0.003879368869587779,14.41403074666299,12.056120631130412,2.4000000000000004,2.3579101155325777,False,False,False
ESO325-011,14.02,11.32,,3.4,,16.39,8.4,7.87,0.0106290849939797,,206.2543868,-41.8627758,0.08813968300819397,19.906318275105644,False,0.31959449058771133,0.026970743000507353,13.700405509412288,11.293029256999493,2.6999999999999993,2.4073762524127957,False,False,False
ESO324-024,12.91,10.35,,3.73,15.32,16.54,9.06,8.16,0.0111418090035944,0.0051774654736535,201.9067156,-41.4789245,0.1125606819987297,20.883244482424562,False,0.4081450329273939,0.03444356869161129,12.501854967072607,10.315556431308389,2.5600000000000005,2.1862985357642177,False,False,False
NGC0625,11.59,8.9,,3.89,13.9,14.69,9.01,7.97,0.0665943291614352,0.0208256588810629,23.7693,-41.4362,0.016382228583097458,-73.12145079137939,False,0.05940196084231138,0.005012961946427822,11.530598039157688,8.894987038053573,2.6899999999999995,2.635611001104115,False,False,False
NGC5408,12.2,10.5,,4.81,,14.68,8.64,8.39,0.1027609708091126,,210.8371125,-41.37770833333333,0.06828629225492477,19.499556075500873,False,0.24760609571635722,0.02089560543000698,11.952393904283642,10.479104394569992,1.6999999999999993,1.4732895097136502,False,False,True
KK55,16.05,13.4,C,7.65,,,8.06,7.86,,,,,,,False,,,,,2.6500000000000004,,False,False,False
ESO300-016,15.57,13.15,C,8.8,17.44,20.51,8.12,7.86,0.0016014131487585,0.0040894499012088,47.54368,-40.00292,0.017890917137265205,-58.61806744796154,False,0.06487246553972363,0.005474620644003152,15.505127534460277,13.144525379355997,2.42,2.3606021551042797,False,False,False
ESO320-014,15.85,12.9,,6.08,18.79,,8.03,7.33,,0.0005629978111393,174.47182,-39.22034,0.14320524036884308,21.467189731240957,False,0.519262201577425,0.04382080355286598,15.330737798422575,12.856179196447135,2.9499999999999993,2.47455860197544,False,False,False
